ORIGINAL	NORMALISED	CORRECT LABEL	PREDICTED LABEL
|chillen|	|chilling|	13	11
|wit|	|with|	11	9
|Niggra|	|nigger|	11	12
|lol|	|laughing out loud|	6	9
|omo|	|oh my|	1	12
|cause|	|because|	10	1
|Lol|	|laughing out loud|	6	9
|DUN|	|don't|	13	12
|DA|	|the|	12	11
|smyle|	|smile|	11	1
|lol|	|laughing out loud|	6	9
|lmaoo|	|laughing my ass off|	6	14
|Yo|	|you|	10	9
|omg|	|oh my god|	6	14
|OMG|	|oh my god|	6	14
|wkeend|	|weekend|	1	8
|lmao|	|laughing my ass off|	6	9
|actully|	|actually|	1	8
|lol|	|laughing out loud|	6	9
|bouta|	|about to|	13	14
|lol|	|laughing out loud|	6	9
|Lol|	|laughing out loud|	6	9
|ik|	|i know|	6	14
|urself|	|yourself|	11	12
|Lol|	|laughing out loud|	6	9
|lmfao|	|laughing my fucking ass off|	6	9
|Omg|	|oh my god|	6	14
|nothin|	|nothing|	12	11
|nomore|	|no more|	5	1
|Lol|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|ik|	|i know|	6	14
|lol|	|laughing out loud|	6	9
|DatPiff|	|the piff|	5	14
|DIY|	|do it yourself|	6	9
|Lol|	|laughing out loud|	6	9
|Lmfao|	|laughing my fucking ass off|	6	9
|ABT|	|about|	10	9
|lol|	|laughing out loud|	6	9
|FLAVOUR|	|flavor|	3	12
|IG|	|instagram|	10	9
|wit|	|with|	11	9
|Ya|	|your|	13	12
|gon|	|gonna|	9	4
|lottle|	|lot|	1	7
|peole|	|people|	1	8
|wit|	|with|	11	9
|lol|	|laughing out loud|	6	9
|lmao|	|laughing my ass off|	6	9
|Wut|	|what|	13	1
|lol|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|centre|	|center|	3	12
|omg|	|oh my god|	6	14
|Omg|	|oh my god|	6	14
|wtf|	|what the fuck|	6	14
|thang|	|thing|	13	12
|niggas|	|niggers|	11	12
|tho|	|though|	11	9
|lmao|	|laughing my ass off|	6	9
|cause|	|because|	10	1
|PDX|	|portland|	10	12
|whatdoiwear|	|what do i wear|	5	14
|cdfu|	|cracking the fuck up|	6	14
|asst|	|assistant|	10	9
|lol|	|laughing out loud|	6	9
|jst|	|just|	8	9
|yah|	|you|	13	12
|RT|	|retweet|	10	9
|ilysm|	|i love you so much|	6	9
|Mins|	|minutes|	10	9
|whisky|	|whiskey|	3	8
|nid|	|need|	11	12
|tho|	|though|	11	9
|shizz|	|shit|	13	15
|vid|	|video|	9	12
|lmfao|	|laughing my fucking ass off|	6	9
|HAPPYLGOVO|	|happy|	1	7
|Neva|	|never|	12	11
|gal|	|guy|	13	12
|nigga|	|nigger|	11	12
|liek|	|like|	1	13
|doesng|	|doesn't|	1	15
|idk|	|i don't know|	6	14
|lol|	|laughing out loud|	6	9
|ily|	|i love you|	6	14
|lang|	|long|	15	1
|yhu|	|you|	11	1
|looool|	|laughing out loud|	6	14
|nuh|	|know|	11	12
|WearR|	|wear|	1	7
|ur|	|your|	11	12
|lmao|	|laughing my ass off|	6	9
|Mnl|	|my new love|	6	14
|nk|	|no kidding|	6	14
|sence|	|sense|	12	1
|humour|	|humor|	3	7
|UR|	|your|	11	12
|tho|	|though|	11	9
|idk|	|i don't know|	6	14
|ur|	|your|	11	12
|tho|	|though|	11	9
|Lol|	|laughing out loud|	6	9
|HAVR|	|have|	1	15
|n|	|and|	10	12
|dogg|	|dog|	1	7
|dogg|	|dog|	1	7
|DMs|	|direct messages|	6	9
|wcd|	|what you doing|	6	14
|nigga|	|nigger|	11	12
|Goddamit|	|god damn it|	5	14
|Feelin|	|feeling|	11	1
|Bruh|	|brother|	13	9
|lol|	|laughing out loud|	6	9
|n|	|and|	10	12
|FOH|	|fuck outa here|	6	9
|b|	|be|	12	15
|w|	|with|	9	15
|throught|	|through|	1	7
|throught|	|through|	1	7
|nigga|	|nigger|	11	12
|nigga|	|nigger|	11	12
|THEYRE|	|they're|	2	3
|THEYRE|	|they're|	2	3
|neighbour|	|neighbor|	3	7
|omg|	|oh my god|	6	14
|neighbour|	|neighbor|	3	7
|LOL|	|laughing out loud|	6	9
|abt|	|about|	10	9
|viru|	|virus|	1	15
|lol|	|laughing out loud|	6	9
|theirselves|	|themselves|	3	12
|getcha|	|get you|	11	14
|Lololol|	|laughing out loud|	6	14
|whr|	|where|	8	12
|voy|	|boy|	1	12
|skepta|	|sunglasses|	15	13
|Idk|	|i don't know|	6	14
|Filmz|	|film|	5	7
|LOL|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|DAT|	|that|	11	12
|DAT|	|that|	11	12
|idk|	|i don't know|	6	14
|Lmao|	|laughing my ass off|	6	9
|lol|	|laughing out loud|	6	9
|YM|	|my|	1	15
|GDO|	|god|	1	12
|keepin|	|keeping|	12	11
|lol|	|laughing out loud|	6	9
|witchu|	|with you|	11	14
|witchu|	|with you|	11	14
|prez|	|president|	9	13
|kot|	|kingdom of trolls|	6	9
|Quil|	|quill|	15	1
|nem|	|they|	15	12
|lol|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|lmao|	|laughing my ass off|	6	9
|tickt|	|ticket|	10	1
|Lmao|	|laughing my ass off|	6	9
|N|	|and|	10	12
|lmao|	|laughing my ass off|	6	9
|lMFAO|	|laughing my fucking ass off|	6	9
|LOL|	|laughing out loud|	6	9
|Tix|	|tickets|	13	10
|sim|	|seems|	15	12
|Mins|	|minutes|	10	9
|wid|	|with|	11	15
|Pmsl|	|pissing myself laughing|	6	9
|gospe|	|gospel|	1	9
|Feelin|	|feeling|	11	1
|switc|	|switch|	1	15
|Nighas|	|niggers|	13	12
|ur|	|your|	11	12
|OMFG|	|oh my fucking god|	6	14
|WTF|	|what the fuck|	6	14
|tha|	|the|	12	11
|omg|	|oh my god|	6	14
