ORIGINAL	NORMALISED	CORRECT LABEL	PREDICTED LABEL
|me6|	|me|	1	7
|YALL|	|you|	13	12
|LA|	|louisiana|	6	9
|and|	|are|	3	12
|hoe|	|whore|	13	12
|bruh|	|brother|	13	12
|tatts|	|tattoos|	9	8
|aye|	|yes|	13	11
|foo|	|fool|	1	9
|no|	|know|	12	9
|cant|	|can't|	2	8
|n|	|in|	10	12
|MF|	|motherfucking|	10	9
|PRECIATE|	|appreciate|	10	1
|thx|	|thanks|	10	13
|ya|	|yea|	10	8
|foo|	|fool|	1	9
|'ll|	|all|	10	2
|foo|	|fool|	1	9
|cant|	|can't|	2	8
|'em|	|them|	13	2
|Geez|	|jesus|	13	12
|tlkin|	|talking|	10	11
|hoe|	|whore|	13	12
|wat|	|what|	1	12
|hawt|	|hot|	12	7
|n|	|in|	10	12
|n|	|in|	10	12
|pressd|	|pressed|	9	1
|lookin'|	|looking|	11	2
|thru|	|through|	12	11
|pw|	|password|	10	9
