ORIGINAL	NORMALISED	CORRECT LABEL	PREDICTED LABEL
|chillen|	|chilling|	13	11
|wit|	|with|	11	9
|bc|	|because|	10	13
|lol|	|laughing out loud|	6	9
|omo|	|oh my|	1	14
|cause|	|because|	10	13
|Lol|	|laughing out loud|	6	9
|DUN|	|don't|	13	3
|smyle|	|smile|	11	1
|sadest|	|saddest|	1	8
|lol|	|laughing out loud|	6	9
|lmaoo|	|laughing my ass off|	6	14
|Yo|	|you|	10	9
|omg|	|oh my god|	6	9
|OMG|	|oh my god|	6	9
|lmao|	|laughing my ass off|	6	9
|lol|	|laughing out loud|	6	9
|bouta|	|about to|	13	14
|lol|	|laughing out loud|	6	9
|Lol|	|laughing out loud|	6	9
|ik|	|i know|	6	9
|urself|	|yourself|	11	12
|Lol|	|laughing out loud|	6	9
|lmfao|	|laughing my fucking ass off|	6	9
|Omg|	|oh my god|	6	9
|nothin|	|nothing|	12	11
|Lol|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|ik|	|i know|	6	9
|lol|	|laughing out loud|	6	9
|DatPiff|	|the piff|	5	14
|DIY|	|do it yourself|	6	9
|Lol|	|laughing out loud|	6	9
|Lmfao|	|laughing my fucking ass off|	6	9
|ABT|	|about|	10	9
|lol|	|laughing out loud|	6	9
|FLAVOUR|	|flavor|	3	12
|IG|	|instagram|	10	9
|wit|	|with|	11	9
|Ya|	|your|	13	12
|lottle|	|lot|	1	7
|peole|	|people|	1	8
|wit|	|with|	11	9
|lol|	|laughing out loud|	6	9
|lmao|	|laughing my ass off|	6	9
|Wut|	|what|	13	12
|lol|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|centre|	|center|	3	11
|omg|	|oh my god|	6	9
|Omg|	|oh my god|	6	9
|wtf|	|what the fuck|	6	9
|thang|	|thing|	13	11
|lmao|	|laughing my ass off|	6	9
|cause|	|because|	10	13
|PDX|	|portland|	10	12
|cdfu|	|cracking the fuck up|	6	14
|Brutha|	|brother|	11	12
|asst|	|assistant|	10	9
|lol|	|laughing out loud|	6	9
|yah|	|you|	13	12
|RT|	|retweet|	10	9
|ilysm|	|i love you so much|	6	9
|Mins|	|minutes|	10	9
|whisky|	|whiskey|	3	12
|WRKED|	|worked|	8	1
|nid|	|need|	11	12
|shizz|	|shit|	13	7
|lmfao|	|laughing my fucking ass off|	6	9
|CANT|	|can't|	2	3
|HAPPYLGOVO|	|happy|	1	7
|nd|	|and|	8	12
|liek|	|like|	1	12
|nd|	|and|	8	12
|doesng|	|doesn't|	1	3
|idk|	|i don't know|	6	9
|lol|	|laughing out loud|	6	9
|ily|	|i love you|	6	9
|lang|	|long|	15	1
|yhu|	|you|	11	12
|looool|	|laughing out loud|	6	14
|nuh|	|know|	11	12
|ntn|	|nothing|	10	11
|WearR|	|wear|	1	7
|ur|	|your|	11	12
|lmao|	|laughing my ass off|	6	9
|Mnl|	|my new love|	6	9
|nk|	|no kidding|	6	14
|alrdy|	|already|	8	13
|sence|	|sense|	12	1
|humour|	|humor|	3	7
|UR|	|your|	11	12
|idk|	|i don't know|	6	9
|ur|	|your|	11	12
|Lol|	|laughing out loud|	6	9
|HAVR|	|have|	1	3
|n|	|and|	10	12
|dogg|	|dog|	1	7
|dogg|	|dog|	1	7
|DMs|	|direct messages|	6	9
|wcd|	|what you doing|	6	14
|Goddamit|	|god damn it|	5	14
|Bruh|	|brother|	13	12
|lol|	|laughing out loud|	6	9
|n|	|and|	10	12
|FOH|	|fuck outa here|	6	9
|throught|	|through|	1	7
|throught|	|through|	1	7
|THEYRE|	|they're|	2	3
|THEYRE|	|they're|	2	3
|neighbour|	|neighbor|	3	7
|omg|	|oh my god|	6	9
|neighbour|	|neighbor|	3	7
|LOL|	|laughing out loud|	6	9
|abt|	|about|	10	9
|viru|	|virus|	1	9
|lol|	|laughing out loud|	6	9
|theirselves|	|themselves|	3	7
|youre|	|you're|	2	3
|youre|	|you're|	2	3
|bffs|	|best friends forever|	6	9
|getcha|	|get you|	11	14
|Lololol|	|laughing out loud|	6	14
|whr|	|where|	8	9
|voy|	|boy|	1	12
|skepta|	|sunglasses|	15	12
|Idk|	|i don't know|	6	9
|Filmz|	|film|	5	7
|LOL|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|devs|	|developer|	9	12
|DAT|	|that|	11	12
|DAT|	|that|	11	12
|idk|	|i don't know|	6	9
|Lmao|	|laughing my ass off|	6	9
|lol|	|laughing out loud|	6	9
|YM|	|my|	1	13
|GDO|	|god|	1	3
|keepin|	|keeping|	12	11
|lol|	|laughing out loud|	6	9
|witchu|	|with you|	11	14
|witchu|	|with you|	11	14
|prez|	|president|	9	13
|kot|	|kingdom of trolls|	6	9
|Quil|	|quill|	15	1
|nem|	|they|	15	12
|lol|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|fkn|	|fucking|	10	13
|lmao|	|laughing my ass off|	6	9
|tickt|	|ticket|	10	8
|Lmao|	|laughing my ass off|	6	9
|N|	|and|	10	12
|lmao|	|laughing my ass off|	6	9
|lMFAO|	|laughing my fucking ass off|	6	9
|LOL|	|laughing out loud|	6	9
|Tix|	|tickets|	13	12
|sim|	|seems|	15	3
|Upto|	|up to|	5	14
|Mins|	|minutes|	10	9
|wid|	|with|	11	12
|Pmsl|	|pissing myself laughing|	6	9
|gospe|	|gospel|	1	9
|switc|	|switch|	1	9
|Alot|	|a lot|	5	14
|Nighas|	|niggers|	13	11
|youll|	|you'll|	2	1
|ur|	|your|	11	12
|bc|	|because|	10	13
|OMFG|	|oh my fucking god|	6	9
|WTF|	|what the fuck|	6	9
|tha|	|the|	12	11
|omg|	|oh my god|	6	9
|lol|	|laughing out loud|	6	9
|lol|	|laughing out loud|	6	9
|n|	|and|	10	12
|lmfao|	|laughing my fucking ass off|	6	9
|satnite|	|saturday night|	12	14
