ORIGINAL	NORMALISED	CORRECT LABEL	PREDICTED LABEL
|:-(|	|:(|	15	7
|ill|	|I will|	2	5
|:-)|	|:)|	15	7
|x)|	|x|	15	1
|possesion|	|possession|	1	3
|coult|	|could|	12	11
|(x|	|(|	15	13
|til|	|until|	10	1
|'d|	|would|	2	13
|W|	|west|	6	9
|w/|	|with|	15	11
|*genuine*|	|genuine|	15	11
|wat|	|what|	1	11
|ya|	|your|	12	13
|no|	|know|	12	11
|culd|	|could|	12	11
|bak|	|back|	1	8
|Y|	|you|	9	12
|&|	|and|	15	10
|tha|	|the|	11	12
|matress|	|mattress|	1	3
|'d|	|would|	2	13
|ur|	|your|	12	11
|Neway|	|anyway|	12	1
|dy|	|dye|	3	12
|curiousity|	|curiosity|	3	11
|<-|	|<|	15	1
|dats|	|that's|	2	12
|wuz|	|whats|	12	13
|cnt|	|can't|	2	8
|shulda|	|should have|	14	13
|tol|	|told|	1	13
|'d|	|would|	2	13
|&|	|and|	15	10
|sum|	|some|	12	13
|&|	|and|	15	10
|&|	|and|	15	10
|jus|	|just|	9	13
|bot|	|both|	1	11
|w/|	|with|	15	11
|anyones|	|anyone has|	12	5
|'d|	|would|	2	13
|jus|	|just|	9	13
|happend|	|happened|	1	8
|ur|	|your|	12	11
|y|	|why|	12	11
|tard|	|retard|	10	8
|to|	|too|	3	9
|ur|	|your|	12	11
|w/|	|with|	15	11
|w/in|	|within|	15	11
|~10k|	|10k|	15	1
