ORIGINAL	NORMALISED	CORRECT LABEL	PREDICTED LABEL
|Holla|	|holler|	12	11
|me6|	|me|	1	15
|YALL|	|you|	13	12
|LA|	|louisiana|	6	9
|and|	|are|	3	12
|hoe|	|whore|	13	1
|knw|	|know|	8	1
|ca|	|can|	3	15
|bruh|	|brother|	13	9
|@|	|at|	12	15
|tho|	|though|	11	9
|cnt|	|can't|	8	2
|w8|	|wait|	12	15
|aye|	|yes|	13	12
|foo|	|fool|	1	12
|no|	|know|	12	1
|n|	|in|	10	8
|MF|	|motherfucking|	10	13
|Whad|	|what|	12	1
|PRECIATE|	|appreciate|	10	1
|tho|	|though|	11	9
|thx|	|thanks|	10	13
|ya|	|yea|	10	12
|foo|	|fool|	1	12
|b|	|be|	12	15
|'ll|	|all|	10	2
|whold|	|whole|	1	12
|bunzzzz|	|buns|	7	15
|@|	|at|	12	15
|foo|	|fool|	1	12
|Cus|	|because|	13	12
|'em|	|them|	13	2
|in2|	|into|	12	11
|Geez|	|jesus|	13	12
|of|	|have|	3	15
|niqqa|	|nigger|	11	12
|tlkin|	|talking|	10	11
|hoe|	|whore|	13	1
|NIGGA|	|nigger|	11	12
|hawt|	|hot|	12	7
|n|	|in|	10	8
|n|	|in|	10	8
|Nigga|	|nigger|	11	12
|w|	|with|	9	15
|Naw|	|no|	12	13
|pressd|	|pressed|	9	1
|bac|	|back|	9	11
|pw|	|password|	10	9
|@|	|at|	12	15
|mutha|	|mother|	12	15
|b|	|be|	12	15
|tho|	|though|	11	9
