ORIGINAL	NORMALISED	CORRECT LABEL	PREDICTED LABEL
|Holla|	|holler|	12	13
|Nothin|	|nothing|	11	12
|ya|	|your|	12	13
|YALL|	|you|	13	12
|ur|	|your|	12	11
|LA|	|louisiana|	6	9
|and|	|are|	3	12
|ca|	|can|	3	9
|mins|	|minutes|	9	10
|til|	|until|	10	1
|@|	|at|	12	15
|Y|	|why|	12	11
|jus|	|just|	9	13
|til|	|until|	10	1
|tatts|	|tattoos|	9	8
|ur|	|your|	12	11
|aye|	|yes|	13	11
|cud|	|could|	12	11
|foo|	|fool|	1	9
|no|	|know|	12	11
|n|	|in|	10	8
|MF|	|motherfucking|	10	6
|WIT|	|with|	9	11
|Whad|	|what|	12	1
|PRECIATE|	|appreciate|	10	1
|hun|	|honey|	12	13
|thx|	|thanks|	10	13
|ya|	|yea|	10	12
|foo|	|fool|	1	9
|'ll|	|all|	10	2
|bunzzzz|	|buns|	7	13
|@|	|at|	12	15
|foo|	|fool|	1	9
|'em|	|them|	13	2
|'d|	|would|	2	13
|Geez|	|jesus|	13	11
|of|	|have|	3	12
|tlkin|	|talking|	10	11
|wat|	|what|	1	11
|wit|	|with|	9	11
|hawt|	|hot|	12	7
|n|	|in|	10	8
|n|	|in|	10	8
|pressd|	|pressed|	9	1
|Dis|	|this|	12	11
|lookin'|	|looking|	11	2
|hafta|	|have to|	14	11
|y|	|why|	12	11
|thru|	|through|	12	11
|pw|	|password|	10	9
|@|	|at|	12	15
|mutha|	|mother|	12	15
|y|	|why|	12	11
