ORIGINAL	NORMALISED	CORRECT LABEL	PREDICTED LABEL
|chillen|	|chilling|	13	11
|omo|	|oh my|	1	5
|smyle|	|smile|	11	1
|sadest|	|saddest|	1	8
|wkeend|	|weekend|	1	8
|ammmazing|	|amazing|	7	1
|actully|	|actually|	1	8
|lottle|	|lot|	1	7
|peole|	|people|	1	8
|PDX|	|portland|	10	13
|Brutha|	|brother|	11	13
|asst|	|assistant|	10	9
|yah|	|you|	13	12
|whisky|	|whiskey|	3	8
|HAPPYLGOVO|	|happy|	1	7
|gal|	|guy|	13	11
|liek|	|like|	1	11
|lang|	|long|	15	1
|yhu|	|you|	11	12
|ntn|	|nothing|	10	13
|WearR|	|wear|	1	3
|sence|	|sense|	12	3
|HAVR|	|have|	1	12
|throught|	|through|	1	11
|throught|	|through|	1	11
|viru|	|virus|	1	9
|getcha|	|get you|	11	14
|skepta|	|sunglasses|	15	13
|Filmz|	|film|	5	1
|devs|	|developer|	9	12
|YM|	|my|	1	13
|GDO|	|god|	1	13
|keepin|	|keeping|	12	11
|witchu|	|with you|	11	14
|witchu|	|with you|	11	14
|Quil|	|quill|	15	1
|nem|	|they|	15	12
|tickt|	|ticket|	10	1
|sim|	|seems|	15	9
|gospe|	|gospel|	1	9
|switc|	|switch|	1	11
|satnite|	|saturday night|	12	6
|diss|	|this|	12	11
|RUNNN|	|run|	7	1
|wateva|	|whatever|	12	11
|cums|	|comes|	11	12
|dnt|	|doesn't|	10	8
|no|	|not|	1	11
|Onew|	|one|	1	12
|judgement|	|judgment|	3	11
|shat|	|shit|	15	1
|yea|	|you|	13	12
|anyones|	|anyone|	1	7
|famly|	|family|	12	8
|dia|	|their|	15	13
|cuh|	|see you|	11	13
|pepl|	|people|	10	8
|Nuff|	|enough|	11	13
|donut|	|doughnut|	3	10
|definitley|	|definitely|	1	13
|yeh|	|yeah|	12	8
|da|	|that|	13	9
|cannnot|	|can't|	2	1
|mybe|	|maybe|	1	8
|ull|	|you will|	13	5
|brotha|	|brother|	11	13
|wada|	|water|	12	13
|chu|	|you|	13	12
