ORIGINAL	NORMALISED	CORRECT LABEL	PREDICTED LABEL
|:-(|	|:(|	15	7
|ill|	|I will|	2	5
|:-)|	|:)|	15	7
|x)|	|x|	15	7
|possesion|	|possession|	1	8
|coult|	|could|	12	1
|(x|	|(|	15	7
|irrate|	|irate|	1	7
|btw|	|between|	8	9
|W|	|west|	6	9
|w/|	|with|	15	12
|*genuine*|	|genuine|	15	7
|wat|	|what|	1	12
|no|	|know|	12	9
|culd|	|could|	12	1
|bak|	|back|	1	8
|'all|	|all|	2	15
|bball|	|basketball|	10	8
|&|	|and|	15	12
|bc|	|because|	10	13
|matress|	|mattress|	1	8
|dy|	|dye|	3	9
|curiousity|	|curiosity|	3	7
|<-|	|<|	15	7
|cnt|	|can't|	2	8
|bn|	|been|	8	12
|tol|	|told|	1	3
|alot|	|a lot|	5	14
|somewre|	|somewhere|	1	9
|&|	|and|	15	12
|&|	|and|	15	12
|&|	|and|	15	12
|bot|	|both|	1	9
|w/|	|with|	15	12
|anyones|	|anyone has|	12	5
|appology|	|apology|	1	7
|happend|	|happened|	1	8
|w/|	|with|	15	12
|w/in|	|within|	15	12
|~10k|	|10k|	15	1
